,Date,Total Cases,New Cases,Active,Recovered,Deaths,Days after surpassing 100 cases
0,2020-01-30,1,1,1,0,0,
1,2020-01-31,1,0,1,0,0,
2,2020-02-01,1,0,1,0,0,
3,2020-02-02,2,1,2,0,0,
4,2020-02-03,3,1,3,0,0,
5,2020-02-04,3,0,3,0,0,
6,2020-02-05,3,0,3,0,0,
7,2020-02-06,3,0,3,0,0,
8,2020-02-07,3,0,3,0,0,
9,2020-02-08,3,0,3,0,0,
10,2020-02-09,3,0,3,0,0,
11,2020-02-10,3,0,3,0,0,
12,2020-02-11,3,0,3,0,0,
13,2020-02-12,3,0,3,0,0,
14,2020-02-13,3,0,3,0,0,
15,2020-02-14,3,0,3,0,0,
16,2020-02-15,3,0,3,0,0,
17,2020-02-16,3,0,3,0,0,
18,2020-02-17,3,0,3,0,0,
19,2020-02-18,3,0,3,0,0,
20,2020-02-19,3,0,3,0,0,
21,2020-02-20,3,0,3,0,0,
22,2020-02-21,3,0,3,0,0,
23,2020-02-22,3,0,3,0,0,
24,2020-02-23,3,0,3,0,0,
25,2020-02-24,3,0,3,0,0,
26,2020-02-25,3,0,3,0,0,
27,2020-02-26,3,0,3,0,0,
28,2020-02-27,3,0,3,0,0,
29,2020-02-28,3,0,3,0,0,
30,2020-02-29,3,0,3,0,0,
31,2020-03-01,3,0,3,0,0,
32,2020-03-02,6,3,3,3,0,
33,2020-03-03,9,3,6,3,0,
34,2020-03-04,32,23,29,3,0,
35,2020-03-05,33,1,30,3,0,
36,2020-03-06,34,1,31,3,0,
37,2020-03-07,37,3,34,3,0,
38,2020-03-08,43,6,40,3,0,
39,2020-03-09,50,7,47,3,0,
40,2020-03-10,65,15,61,4,0,
41,2020-03-11,65,0,61,4,0,
42,2020-03-12,77,12,72,4,1,
43,2020-03-13,85,8,73,10,2,
44,2020-03-14,100,15,88,10,2,0.0
45,2020-03-15,110,10,95,13,2,1.0
46,2020-03-16,114,4,99,13,2,2.0
47,2020-03-17,140,26,123,14,2,3.0
48,2020-03-18,170,30,153,14,3,4.0
49,2020-03-19,198,28,181,14,3,5.0
50,2020-03-20,249,51,223,22,4,6.0
51,2020-03-21,329,80,301,23,4,7.0
52,2020-03-22,390,61,359,24,7,8.0
